index	time	proc_name	pid	pfaddr	rw	major_minor	resolve_time	lib	addr	offset
1	1506816069251	firefox	13179	10773289646	R	minor	50	/usr/lib/x86_64-linux-gnu/libcairo.so.2.11400.10	16727808	686943
1	1506816069251	firefox	13179	10773289646	R	minor	50	/lib/x86_64-linux-gnu/libglib-2.0.so.0.5400.1	16748032	660132
1	1506816069251	firefox	13179	10773289646	R	minor	50	/lib/x86_64-linux-gnu/libpthread-2.26.so	16746496	483292
1	1506816069251	firefox	13179	10773289646	R	minor	50	/usr/lib/x86_64-linux-gnu/libX11.so.6.3.0	16748800	108902
1	1506816069251	firefox	13179	10773289646	R	minor	50	/lib/x86_64-linux-gnu/libc-2.26.so	16767232	7501
2	1506816074664	firefox	13179	4558430388	W	minor	23	/lib/x86_64-linux-gnu/libglib-2.0.so.0.5400.1	16657664	64606
2	1506816074664	firefox	13179	4558430388	W	minor	23	/usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0	16756992	607425
2	1506816074664	firefox	13179	4558430388	W	minor	23	/lib/x86_64-linux-gnu/libpthread-2.26.so	16759296	459484
2	1506816074664	firefox	13179	4558430388	W	minor	23	/lib/x86_64-linux-gnu/libc-2.26.so	16723456	528024
2	1506816074664	firefox	13179	4558430388	W	minor	23	/usr/lib/x86_64-linux-gnu/libgdk-x11-2.0.so.0.2400.31	16689664	40592
2	1506816074664	firefox	13179	4558430388	W	minor	23	/usr/lib/x86_64-linux-gnu/libX11.so.6.3.0	16659456	385253
2	1506816074664	firefox	13179	4558430388	W	minor	23	/usr/lib/x86_64-linux-gnu/libcairo.so.2.11400.10	16731648	161826
