Date,Location,Type,TimeToManual,Cause
Sep 2014,Street,Safe Operation,,Disengage for a perception discrepancy
Sep 2014,Street,Safe Operation,,Disengage for a recklessly behaving agent
Oct 2014,Street,Safe Operation,,Disengage for a perception discrepancy
Oct 2014,Street,Failure Detection,0.7,Disengage for hardware discrepancy
Oct 2014,Street,Safe Operation,,Disengage for incorrect behavior prediction of other traffic participants
Oct 2014,Street,Failure Detection,0.85,Disengage for unwanted maneuver of the vehicle
Oct 2014,Street,Failure Detection,0.8,Disengage for unwanted maneuver of the vehicle
Oct 2014,Street,Failure Detection,0.9,Disengage for a software discrepancy
Oct 2014,Street,Safe Operation,,Disengage for a perception discrepancy
Oct 2014,Highway,Failure Detection,0.6,Disengage for a software discrepancy
Oct 2014,Street,Failure Detection,0.9,Disengage for a software discrepancy
Oct 2014,Street,Failure Detection,0.9,Disengage for a software discrepancy
Oct 2014,Street,Failure Detection,1,Disengage for a software discrepancy
Oct 2014,Street,Failure Detection,0.6,Disengage for a software discrepancy
Oct 2014,Street,Failure Detection,0.9,Disengage for a software discrepancy
Oct 2014,Street,Failure Detection,0.6,Disengage for a software discrepancy
Oct 2014,Street,Failure Detection,0.6,Disengage for a software discrepancy
Oct 2014,Street,Safe Operation,,Disengage for unwanted maneuver of the vehicle
Oct 2014,Street,Safe Operation,,Disengage for incorrect behavior prediction of other traffic participants
Oct 2014,Street,Failure Detection,0.7,Disengage for a software discrepancy
Oct 2014,Street,Failure Detection,,Disengage for a software discrepancy
Nov 2014,Street,Failure Detection,0.5,Disengage for a software discrepancy
Nov 2014,Highway,Failure Detection,0.8,Disengage for a software discrepancy
Nov 2014,Street,Failure Detection,0.75,Disengage for a software discrepancy
Nov 2014,Street,Failure Detection,0.2,Disengage for a software discrepancy
Nov 2014,Street,Failure Detection,0.7,Disengage for a software discrepancy
Nov 2014,Street ,Failure Detection ,,Disengage for a perception discrepancy
Nov 2014,Street ,Safe Operation ,,Disengage for incorrect behavior prediction of other traffic participants
Nov 2014,Street ,Failure Detection ,,Disengage for a software discrepancy 
Nov 2014,Street ,Safe Operation ,,Disengage for a software discrepancy
Nov 2014,Street ,Safe Operation ,,Disengage for unwanted maneuver of the vehicle 
Nov 2014,Street ,Failure Detection ,,Disengage for incorrect behavior prediction of other traffic participants
Nov 2014,Highway ,Failure Detection ,,Disengage for a recklessly behaving agent
Nov 2014,Street ,Safe Operation ,,Disengage for unwanted maneuver of the vehicle
Nov 2014,Street ,Failure Detection ,0.7,Disengage for unwanted maneuver of the vehicle
Nov 2014,Street ,Safe Operation ,,Disengage for a perception discrepancy
Nov 2014,Street ,Failure Detection ,0.2,Disengage for unwanted maneuver of the vehicle
Nov 2014,Street ,Failure Detection ,1.1,Disengage for a software discrepancy
Nov 2014,Street ,Safe Operation ,,Disengage for a perception discrepancy
Nov 2014,Street ,Failure Detection ,2.2,Disengage for unwanted maneuver of the vehicle
Nov 2014,Street ,Failure Detection ,,Disengage for unwanted maneuver of the vehicle
Nov 2014,Street ,Failure Detection ,2.2,Disengage for a software discrepancy
Dec 2014,Street ,Failure Detection ,0.2,Disengage for a software discrepancy
Dec 2014,Street ,Failure Detection ,,Disengage for unwanted maneuver of the vehicle 
