SampleName,strtmp,coll,labtime
HE1Sample_0,cold,nurse,short
HE1Sample_1,cold,nurse,short
HE1Sample_2,cold,nurse,short
HE1Sample_3,cold,nurse,short
HE1Sample_4,cold,nurse,short
HE1Sample_5,cold,nurse,short
HE1Sample_6,cold,nurse,short
HE1Sample_7,cold,nurse,short
HE1Sample_8,cold,nurse,short
HE1Sample_9,cold,nurse,short
HE1Sample_10,cold,nurse,short
HE1Sample_11,cold,nurse,short
HE1Sample_12,cold,nurse,short
HE1Sample_13,cold,nurse,short
HE1Sample_14,cold,nurse,short
HE1Sample_15,cold,nurse,short
HE1Sample_16,cold,nurse,short
HE1Sample_17,cold,nurse,short
HE1Sample_18,cold,nurse,short
HE1Sample_19,cold,nurse,short
HE1Sample_20,cold,nurse,short
HE1Sample_21,cold,nurse,short
HE1Sample_22,cold,nurse,short
HE1Sample_23,cold,nurse,short
HE1Sample_24,cold,nurse,short
HE1Sample_25,cold,nurse,short
HE1Sample_26,cold,nurse,short
HE1Sample_27,cold,nurse,short
HE1Sample_28,cold,nurse,short
HE1Sample_29,cold,nurse,short
HE1Sample_30,cold,nurse,short
HE1Sample_31,cold,nurse,short
HE1Sample_32,cold,nurse,short
HE1Sample_33,cold,nurse,short
HE1Sample_34,cold,nurse,short
HE1Sample_35,cold,nurse,short
HE1Sample_36,cold,nurse,short
HE1Sample_37,cold,nurse,short
HE1Sample_38,cold,nurse,short
HE1Sample_39,cold,nurse,short
HE1Sample_40,cold,nurse,short
HE1Sample_41,cold,nurse,short
HE1Sample_42,cold,nurse,short
HE1Sample_43,cold,nurse,short
HE1Sample_44,cold,nurse,short
HE1Sample_45,cold,nurse,short
HE1Sample_46,cold,nurse,short
HE1Sample_47,cold,nurse,short
HE1Sample_48,cold,nurse,short
HE1Sample_49,cold,nurse,short
HE1Sample_50,cold,nurse,short
HE1Sample_51,cold,nurse,short
HE1Sample_52,cold,nurse,short
HE1Sample_53,cold,nurse,short
HE1Sample_54,cold,nurse,short
HE1Sample_55,cold,nurse,short
HE1Sample_56,cold,nurse,short
HE1Sample_57,cold,nurse,short
HE1Sample_58,cold,nurse,short
HE1Sample_59,cold,nurse,short
HE1Sample_60,cold,nurse,short
HE1Sample_61,cold,nurse,short
HE1Sample_62,cold,nurse,short
HE1Sample_63,cold,nurse,short
HE1Sample_64,cold,nurse,short
HE1Sample_65,cold,nurse,short
HE1Sample_66,cold,nurse,short
HE1Sample_67,cold,nurse,short
HE1Sample_68,cold,nurse,short
HE1Sample_69,cold,nurse,short
HE1Sample_70,cold,nurse,short
HE1Sample_71,cold,nurse,short
HE1Sample_72,cold,nurse,short
HE1Sample_73,cold,nurse,short
HE1Sample_74,cold,nurse,short
HE1Sample_75,cold,nurse,short
HE1Sample_76,cold,nurse,short
HE1Sample_77,cold,nurse,short
HE1Sample_78,cold,nurse,short
HE1Sample_79,cold,nurse,short
HE1Sample_80,cold,nurse,short
HE1Sample_81,cold,nurse,short
HE1Sample_82,cold,nurse,short
HE1Sample_83,cold,nurse,short
HE1Sample_84,cold,nurse,short
HE1Sample_85,cold,nurse,short
HE1Sample_86,cold,nurse,short
HE1Sample_87,cold,nurse,short
HE1Sample_88,cold,nurse,short
HE1Sample_89,cold,nurse,short
HE1Sample_90,cold,nurse,short
HE1Sample_91,cold,nurse,short
HE1Sample_92,cold,nurse,short
HE1Sample_93,cold,nurse,short
HE1Sample_94,cold,nurse,short
HE1Sample_95,cold,nurse,short
HE1Sample_96,cold,nurse,short
HE1Sample_97,cold,nurse,short
HE1Sample_98,cold,nurse,short
HE1Sample_99,cold,nurse,short
HE1Sample_100,cold,nurse,short
HE1Sample_101,cold,nurse,short
HE1Sample_102,cold,nurse,short
HE1Sample_103,cold,nurse,short
HE1Sample_104,cool,nurse,short
HE1Sample_105,cool,nurse,short
HE1Sample_106,cool,nurse,short
HE1Sample_107,cool,nurse,short
HE1Sample_108,cool,nurse,short
HE1Sample_109,cool,nurse,short
HE1Sample_110,cool,nurse,short
HE1Sample_111,cool,nurse,short
