strtmp,coll,labtime,cont,qual
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,bad
cold,nurse,short,high,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,long,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cool,patient,short,high,bad
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,long,low,good
cold,nurse,short,low,good
cold,nurse,long,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cool,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cool,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cool,patient,short,high,good
cold,nurse,short,low,bad
cold,patient,short,high,good
cold,nurse,short,low,bad
cold,nurse,long,low,good
cold,nurse,short,low,bad
cold,nurse,short,low,good
cold,nurse,long,low,good
cold,nurse,short,low,good
cool,nurse,short,high,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,long,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cool,nurse,long,low,bad
cold,nurse,short,low,good
cold,nurse,short,low,bad
cool,nurse,short,low,good
cold,nurse,short,low,bad
cold,nurse,short,high,good
cold,nurse,long,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,long,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,long,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,patient,short,low,bad
cool,patient,short,high,good
cold,nurse,short,low,good
cold,nurse,short,high,good
cold,nurse,short,low,good
cool,patient,short,high,good
cold,nurse,short,low,good
cold,nurse,short,high,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cool,nurse,short,low,good
cold,nurse,short,high,good
cold,nurse,short,high,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,short,low,good
cold,nurse,long,low,good
