,timestamp,length,highest layer,dest_ip,query_len,src_port
0,1521397311.237798,90,SSH,10.0.2.2,,
1,1521397311.237986,60,TCP,10.0.2.15,,
2,1521397311.238632,90,SSH,10.0.2.2,,
3,1521397311.238749,98,SSH,10.0.2.2,,
4,1521397311.2388,60,TCP,10.0.2.15,,
5,1521397311.238885,90,SSH,10.0.2.2,,
6,1521397311.238995,60,TCP,10.0.2.15,,
7,1521397311.239001,60,TCP,10.0.2.15,,
8,1521397311.851355,90,SSH,10.0.2.15,,
9,1521397311.851511,90,SSH,10.0.2.2,,
10,1521397311.851623,60,TCP,10.0.2.15,,
11,1521397312.013774,88,DNS,162.212.156.148,17,43204
12,1521397312.031954,93,DNS,10.0.2.15,17,53
13,1521397312.217683,90,SSH,10.0.2.15,,
14,1521397312.2179,90,SSH,10.0.2.2,,
15,1521397312.218138,60,TCP,10.0.2.15,,
16,1521397313.034562,88,DNS,162.212.156.148,17,43204
17,1521397313.050511,93,DNS,10.0.2.15,17,53
18,1521397313.483598,198,SSH,10.0.2.15,,
19,1521397313.520191,54,TCP,10.0.2.2,,
20,1521397314.052148,88,DNS,162.212.156.148,17,43204
21,1521397314.068427,93,DNS,10.0.2.15,17,53
22,1521397315.068838,88,DNS,162.212.156.148,17,43204
23,1521397315.083043,93,DNS,10.0.2.15,17,53
24,1521397316.084064,88,DNS,162.212.156.148,17,43204
25,1521397316.100277,93,DNS,10.0.2.15,17,53
26,1521397317.103274,88,DNS,162.212.156.148,17,43204
27,1521397317.119268,93,DNS,10.0.2.15,17,53
28,1521397318.120046,88,DNS,162.212.156.148,17,43204
29,1521397318.138889,99,DNS,10.0.2.15,17,53
30,1521397318.13905,234,SSH,10.0.2.2,,
31,1521397318.139195,60,TCP,10.0.2.15,,
32,1521397319.141493,88,DNS,162.212.156.148,17,43204
33,1521397319.15556,99,DNS,10.0.2.15,17,53
34,1521397319.155701,90,SSH,10.0.2.2,,
35,1521397319.155859,60,TCP,10.0.2.15,,
36,1521397319.801304,90,SSH,10.0.2.15,,
37,1521397319.801323,54,TCP,10.0.2.2,,
38,1521397319.801504,90,SSH,10.0.2.2,,
39,1521397319.801661,60,TCP,10.0.2.15,,
40,1521397319.812099,98,SSH,10.0.2.2,,
41,1521397319.812261,60,TCP,10.0.2.15,,
42,1521397322.329428,90,SSH,10.0.2.15,,
43,1521397322.329665,90,SSH,10.0.2.2,,
44,1521397322.329802,60,TCP,10.0.2.15,,
45,1521397322.632964,90,SSH,10.0.2.15,,
46,1521397322.634792,90,SSH,10.0.2.2,,
47,1521397322.635043,60,TCP,10.0.2.15,,
48,1521397322.646597,74,TCP,10.0.0.1,,
49,1521397323.64514,74,TCP,10.0.0.1,,
50,1521397323.86507,90,SSH,10.0.2.15,,
51,1521397323.865238,90,SSH,10.0.2.2,,
52,1521397323.865402,60,TCP,10.0.2.15,,
53,1521397323.86607,90,SSH,10.0.2.2,,
54,1521397323.866925,60,TCP,10.0.2.15,,
55,1521397325.369711,90,SSH,10.0.2.15,,
56,1521397325.369927,90,SSH,10.0.2.2,,
57,1521397325.370014,60,TCP,10.0.2.15,,
58,1521397325.449434,90,SSH,10.0.2.15,,
59,1521397325.449609,90,SSH,10.0.2.2,,
60,1521397325.449773,60,TCP,10.0.2.15,,
61,1521397325.545754,90,SSH,10.0.2.15,,
62,1521397325.545943,90,SSH,10.0.2.2,,
63,1521397325.546128,60,TCP,10.0.2.15,,
64,1521397325.694566,90,SSH,10.0.2.15,,
65,1521397325.694737,90,SSH,10.0.2.2,,
66,1521397325.694903,60,TCP,10.0.2.15,,
67,1521397325.806356,90,SSH,10.0.2.15,,
68,1521397325.806523,90,SSH,10.0.2.2,,
69,1521397325.806675,60,TCP,10.0.2.15,,
70,1521397326.009408,90,SSH,10.0.2.15,,
71,1521397326.009583,90,SSH,10.0.2.2,,
72,1521397326.009752,60,TCP,10.0.2.15,,
73,1521397326.01436,90,SSH,10.0.2.15,,
74,1521397326.014537,90,SSH,10.0.2.2,,
75,1521397326.014708,60,TCP,10.0.2.15,,
76,1521397326.297598,90,SSH,10.0.2.15,,
77,1521397326.297784,90,SSH,10.0.2.2,,
78,1521397326.297956,60,TCP,10.0.2.15,,
79,1521397326.521574,90,SSH,10.0.2.15,,
80,1521397326.521762,90,SSH,10.0.2.2,,
81,1521397326.521935,60,TCP,10.0.2.15,,
82,1521397326.617391,90,SSH,10.0.2.15,,
83,1521397326.617557,90,SSH,10.0.2.2,,
84,1521397326.617709,60,TCP,10.0.2.15,,
85,1521397326.71339,90,SSH,10.0.2.15,,
86,1521397326.713572,90,SSH,10.0.2.2,,
87,1521397326.71374,60,TCP,10.0.2.15,,
88,1521397326.830355,90,SSH,10.0.2.15,,
89,1521397326.830523,90,SSH,10.0.2.2,,
90,1521397326.830689,60,TCP,10.0.2.15,,
91,1521397327.033449,90,SSH,10.0.2.15,,
92,1521397327.033637,90,SSH,10.0.2.2,,
93,1521397327.033806,60,TCP,10.0.2.15,,
94,1521397327.04941,90,SSH,10.0.2.15,,
95,1521397327.049567,90,SSH,10.0.2.2,,
96,1521397327.049703,60,TCP,10.0.2.15,,
97,1521397327.097393,90,SSH,10.0.2.15,,
98,1521397327.097558,90,SSH,10.0.2.2,,
99,1521397327.097721,60,TCP,10.0.2.15,,
100,1521397327.432926,90,SSH,10.0.2.15,,
101,1521397327.434411,70,DNS,75.75.75.75,10,45204
102,1521397327.434642,90,SSH,10.0.2.2,,
103,1521397327.434989,60,TCP,10.0.2.15,,
104,1521397327.452144,86,DNS,10.0.2.15,10,53
105,1521397327.452402,98,ICMP,216.58.192.238,,
106,1521397327.452711,122,SSH,10.0.2.2,,
107,1521397327.45316,60,TCP,10.0.2.15,,
108,1521397327.467939,98,ICMP,10.0.2.15,,
109,1521397327.46808,87,DNS,75.75.75.75,27,47111
110,1521397327.48311,157,DNS,10.0.2.15,27,53
111,1521397327.48327,130,SSH,10.0.2.2,,
112,1521397327.483456,60,TCP,10.0.2.15,,
113,1521397327.897001,90,SSH,10.0.2.15,,
114,1521397327.897155,90,SSH,10.0.2.2,,
115,1521397327.897307,60,TCP,10.0.2.15,,
116,1521397327.897837,106,SSH,10.0.2.2,,
117,1521397327.898015,60,TCP,10.0.2.15,,
118,1521397328.089557,90,SSH,10.0.2.15,,
119,1521397328.089742,90,SSH,10.0.2.2,,
120,1521397328.089919,60,TCP,10.0.2.15,,
121,1521397328.201399,90,SSH,10.0.2.15,,
122,1521397328.201584,90,SSH,10.0.2.2,,
123,1521397328.201715,60,TCP,10.0.2.15,,
124,1521397328.265759,90,SSH,10.0.2.15,,
125,1521397328.266014,90,SSH,10.0.2.2,,
126,1521397328.266142,60,TCP,10.0.2.15,,
127,1521397328.377418,90,SSH,10.0.2.15,,
128,1521397328.37759,90,SSH,10.0.2.2,,
129,1521397328.377756,60,TCP,10.0.2.15,,
130,1521397328.505514,90,SSH,10.0.2.15,,
131,1521397328.505689,90,SSH,10.0.2.2,,
132,1521397328.50586,60,TCP,10.0.2.15,,
133,1521397328.761466,90,SSH,10.0.2.15,,
134,1521397328.761642,90,SSH,10.0.2.2,,
135,1521397328.761812,60,TCP,10.0.2.15,,
136,1521397328.85746,90,SSH,10.0.2.15,,
137,1521397328.857625,90,SSH,10.0.2.2,,
138,1521397328.857793,60,TCP,10.0.2.15,,
139,1521397328.985808,90,SSH,10.0.2.15,,
140,1521397328.985989,90,SSH,10.0.2.2,,
141,1521397328.986154,60,TCP,10.0.2.15,,
142,1521397329.065395,90,SSH,10.0.2.15,,
