,timestamp,length,highest_layer,content_type,content_type_len,request_uri,http,dest_ip,dest_port
0,1521394900.952762,58,TCP,,0,,,172.17.0.2,8080
1,1521394900.952817,58,TCP,,0,,,10.0.2.2,55952
2,1521394900.952939,54,TCP,,0,,,172.17.0.2,8080
3,1521394900.952944,766,HTTP,,0,/j,"Layer HTTP:
	GET /j HTTP/1.1\r\n
	Expert Info (Chat/Sequence): GET /j HTTP/1.1\r\n
	GET /j HTTP/1.1\r\n
	Severity level: Chat
	Group: Sequence
	Request Method: GET
	Request URI: /j
	Request Version: HTTP/1.1
	Host: localhost:60080\r\n
	Connection: keep-alive\r\n
	User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3373.0 Safari/537.36\r\n
	Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8\r\n
	Accept-Encoding: gzip, deflate, br\r\n
	Accept-Language: en-US,en;q=0.9,vi;q=0.8\r\n
	 [truncated]Cookie: username-localhost-8889=""2|1:0|10:1520220538|23:username-localhost-8889|44:ODcxYmJhMGM0NjVjNDZkYjhmZDJkZWVlNWUyZGJjYWI=|f0900eaa7227371fcf37cfcf446c8be5a896dd5aa0123aecff040a323ee711b7""; _xsrf=2|dffac1db|e5101d421a2bfa
	Cookie pair: username-localhost-8889=""2|1:0|10:1520220538|23:username-localhost-8889|44:ODcxYmJhMGM0NjVjNDZkYjhmZDJkZWVlNWUyZGJjYWI=|f0900eaa7227371fcf37cfcf446c8be5a896dd5aa0123aecff040a323ee711b7""
	Full request URI: http://localhost:60080/j
	HTTP request 1/1
	\r\n
	Upgrade-Insecure-Requests: 1\r\n
	DNT: 1\r\n
	Cookie pair: _xsrf=2|dffac1db|e5101d421a2bfae66b2232abbd75196b|1520220538
	Cookie pair: JSESSIONID=190DD6FAB44A922A9BACFEC2507563C1
",172.17.0.2,8080
4,1521394900.952983,54,TCP,,0,,,10.0.2.2,55952
5,1521394901.053331,7354,TCP,,0,,,10.0.2.2,55952
6,1521394901.053442,1754,TCP,,0,,,10.0.2.2,55952
7,1521394901.053574,54,TCP,,0,,,172.17.0.2,8080
8,1521394901.05358,54,TCP,,0,,,172.17.0.2,8080
9,1521394901.053583,54,TCP,,0,,,172.17.0.2,8080
10,1521394901.053585,54,TCP,,0,,,172.17.0.2,8080
11,1521394901.053587,54,TCP,,0,,,172.17.0.2,8080
12,1521394901.053589,54,TCP,,0,,,172.17.0.2,8080
13,1521394901.053592,54,TCP,,0,,,172.17.0.2,8080
14,1521394901.053671,525,TCP,,0,,,10.0.2.2,55952
15,1521394901.053751,54,TCP,,0,,,172.17.0.2,8080
